CMDLINE /Users/zhewang/anaconda3/envs/py39/bin/python obj.py
MEM 0.011719 1632342090.3882
MEM 16.746094 1632342090.4967
MEM 29.859375 1632342090.6054
MEM 38.429688 1632342090.7124
MEM 38.726562 1632342090.8193
MEM 39.046875 1632342090.9294
MEM 39.433594 1632342091.0368
MEM 39.683594 1632342091.1470
MEM 39.941406 1632342091.2560
MEM 40.195312 1632342091.3647
MEM 41.011719 1632342091.4713
MEM 41.277344 1632342091.5820
MEM 41.531250 1632342091.6926
MEM 41.781250 1632342091.8000
MEM 42.031250 1632342091.9094
MEM 42.285156 1632342092.0199
MEM 43.777344 1632342092.1287
MEM 44.023438 1632342092.2408
MEM 44.277344 1632342092.3514
MEM 44.527344 1632342092.4595
MEM 44.773438 1632342092.5690
MEM 45.003906 1632342092.6764
MEM 45.246094 1632342092.7872
MEM 45.480469 1632342092.8940
MEM 45.734375 1632342093.0048
MEM 45.988281 1632342093.1157
MEM 46.242188 1632342093.2288
MEM 46.484375 1632342093.3373
MEM 46.742188 1632342093.4477
MEM 49.500000 1632342093.5565
MEM 49.750000 1632342093.6625
MEM 50.003906 1632342093.7727
MEM 50.253906 1632342093.8805
MEM 50.515625 1632342093.9884
MEM 50.765625 1632342094.0960
MEM 51.011719 1632342094.2026
MEM 51.273438 1632342094.3124
MEM 51.539062 1632342094.4226
MEM 51.777344 1632342094.5306
MEM 52.000000 1632342094.6430
MEM 52.242188 1632342094.7536
MEM 52.484375 1632342094.8625
MEM 52.734375 1632342094.9699
MEM 52.988281 1632342095.0769
MEM 53.234375 1632342095.1825
MEM 53.480469 1632342095.2878
MEM 53.734375 1632342095.3930
MEM 53.988281 1632342095.5005
MEM 54.246094 1632342095.6065
MEM 54.492188 1632342095.7125
MEM 54.753906 1632342095.8227
MEM 55.000000 1632342095.9328
MEM 55.167969 1632342096.0395
MEM 55.371094 1632342096.1471
MEM 60.566406 1632342096.2577
MEM 60.820312 1632342096.3676
MEM 61.085938 1632342096.4778
MEM 61.335938 1632342096.5861
MEM 61.593750 1632342096.6930
MEM 61.847656 1632342096.8006
MEM 62.097656 1632342096.9062
